ఆఫ్రికా	非洲
ICD-10 అధ్యాయము 14: మూత్ర మరియు జననేంద్రియ సంబంధ వ్యాధులు	ICD-10 第十四章：泌尿生殖系统疾病
కండరాలు, ఎముకలు, కణజాల వ్యాధులు	ICD-10 第十三章：肌肉骨骼系统和结缔组织疾病
ICD-10 అధ్యాయము 15: గర్భం, శిశుజననం ముందు మరియు తరువాత వచ్చే వ్యాధులు	ICD-10 第十五章：妊娠、分娩和产褥期
ICD-10 అధ్యాయము 18: వ్యాధి లక్షణాలు, ప్రయోగశాల పరిశీలనలు ఇతరత్రా వర్గీకరించబడనివి	ICD-10 第十八章：症状、体征和临床与实验室异常所见
ICD-10 అధ్యాయము 19: దెబ్బలు, విష ప్రభావాలు మరియు తదితర బాహ్య కారణాల వల్ల కలిగే పరిణామాలు	ICD-10 第十九章：损伤、中毒和外因的某些其他后果
ICD-10 అధ్యాయము 22: ప్రత్యేక విధులకై సంకేతాలు	ICD-10 第二十二章：特殊目的代码
బార్ దేహం	巴爾小體
బార్తోలిన్ గ్రంధి	前庭大腺
వసుంధర విజ్ఞాన వికాస మండలి	共同基金
అడవి నల్ల గద్ద	林鵰
బాబర్	巴卑尔
బనస్ కాంతా	巴纳斯坎塔县
బెంగుళూరు జిల్లా	班加羅爾市區縣
బెంగుళూరు గ్రామీణ జిల్లా	班加羅爾鄉村縣
బన్‌స్వార జిల్లా	班斯瓦拉縣
బర్ధామన్	巴爾達曼縣
బ్యాటింగ్ (క్రికెట్)	击球 (板球)
పత్తిగింజల నూనె	棉籽油
షింటో మతము	神道
42 (సంఖ్య)	42
బీడ్ జిల్లా	比德縣
వక్ఫ్	瓦合甫
బహిర్గత పరిహారం	曝光补偿
వ్యాపార నమూనా	商业模式
భాషా అభ్యాసన	语言习得
ప్రథమ చికిత్స వస్తు సామగ్రి	急救包
జాగింగ్	慢跑
డిస్మెనోరియా	經痛
ప్రణాళిక నిర్వహణ అధికారి	项目经理
సామాజిక వ్యవస్థాపకత	公益创业
ద్వారక	德瓦尔卡
గంగోత్రి	根戈德里
భారతీయ రైల్వేలు	印度鐵路公司
ప్రగతివాదం	進步主義
ఇందిరాగాంధీ అంతర్జాతీయ విమానాశ్రయం	英迪拉·甘地国际机场
దేశాల జాబితా – సైన్యం సంఖ్యను బట్టి	各国武装部队列表
కరొలిన్ ద్వీపం	加罗林岛
న్యూటన్ వలయాలు	牛頓環
డయ్ క్రోయిక్ ప్రిజం	分色稜鏡
కుసినార	拘尸那揭羅
సన్‌స్క్రీన్ లేపనము	防曬油
కిలోమీటరు	千米
సమాజ దేహం	社会有机体论
సరళహరాత్మక చలనం	簡諧運動
హవా మహల్	风之宫
కమ్యూనిస్టు పార్టీ ఆఫ్ ఇండియా	印度共产党
పౌరశాస్త్రం	公民教育
బైట్ కోడ్	字节码
లాహౌల్	拉胡爾和斯皮提縣
2010లో క్రీడలు	2010年体育
గుండు సూది	大头针
నలుపు-తెలుపు ఛాయాచిత్రకళ	黑白
ఇరిటబుల్ బవెల్ సిండ్రోమ్	大腸激躁症
యునిక్సు ప్రోగ్రాముల చిట్టా	Unix实用程序列表
గుణాత్మక పరిశీలన	定性研究
గోల్డెన్ రైస్	黄金大米
వక్షోజాల సంభోగం	乳交
చాతక పక్షి	斑翅凤头鹃
లాంప్రే	七鳃鳗科
కన్నడ అక్షరమాల	卡納達文
పిన్నీసు	安全別針
కార్బన్-14	碳-14
నంది	南迪
కలరిపయట్టు	卡拉里帕亞特
కొబ్బరిపాలు	椰浆
పురుష జననేంద్రియ వ్యవస్థ	男性生殖系統
నెమరువేయు జంతువులు	反芻
వెబ్ ఫీడ్	消息來源
మాగాణి	稻田
గ్లూకోజ్‌ మీటర్‌	血糖仪
స్త్రీ జననేంద్రియ వ్యవస్థ	女性生殖系統
కుంతీదేవి	貢蒂
సబ్‌ప్రైమ్ తనఖా సంక్షోభం	次貸危機
కొరోనరీ ఆర్టరీ వ్యాధి	冠狀動脈疾病
మచిలీపట్నం	默蘇利珀德姆
మహా జనపదాలు	印度列国时代
గ్యాస్ ట్రబుల్	胃酸
సాఫ్ట్వేర్ ఆర్కిటెక్చర్	软件架构
బఫే	自助餐
FFmpeg	FFmpeg
ఆస్క్.కామ్	Ask.com
తెలుగు వికీపీడియా	Wikipedia:泰盧固語維基百科
శక్తి ఆరాధన	沙克達教
పటిక బెల్లం	冰糖
దేశాల జాబితా – అక్షరాస్యత క్రమంలో	世界各国识字率列表
విద్యుదయస్కాంతత్వం	電磁力
పట్టభద్ర నిర్వహణ ప్రవేశ పరీక్ష(గ్రాడ్యుయేట్ మానేజ్మెంట్ ఎడ్మిషన్ టెస్ట్)	GMAT
హిరా గుహ	希拉山洞
వోల్టేజ్ స్టెబిలైజర్	稳压器
నికోటియానా	煙草屬
విజేత (ఛాంపియన్)	冠軍
మార్పు (చేప)	蟾鬍鯰
అశ్వగంధ	睡茄
భారతదేశ రాష్ట్రాల జనాభా	印度行政区人口列表
రూఫస్ ఆర్నెరో	棕灶鳥
గడియార స్తంభం	钟楼 (西式)
భైషజ్యగురు బుద్ధుడు	藥師佛
భజన	拜赞歌
పెళ్ళి బృందం	新郎
తోలుబొమ్మలాట	皮影戲
దొంగనోటు	假幣
భరత్‌పూర్ జిల్లా	珀勒德布爾縣
భారూచ్	巴鲁奇县
మెనిస్పెర్మేసి	防己科
ప్రపంచ జనాభా దినోత్సవం	世界人口日
రుద్రుడు	楼陀罗
ఐస్ పాప్	冰棒
తోడేలు	伊朗狼
కాపలాదారుడు	保全
బీడీ	比迪烟
పాండురాజు	般度
గుంటకలగర	鳢肠
వరాహమిహిరుడు	伐罗诃密希罗
బరంపురం	布拉赫马普尔
చంపావత్	恰姆帕瓦特
చంద్రపూర్	钱德拉普尔
దృష్టి కోణం	視角
బొబ్బిలి	博布比利
రక్షకభట నిలయము	警察局
పేడ పురుగు	蜣螂
రామన్ స్పెక్ట్రోస్కోపీ	拉曼光譜學
లాంతరు	灯笼
చామరాజనగర్	查马拉贾纳加尔县
రాజగిరి	王舍城
దేశాల జాబితా – జననాల రేటు క్రమంలో	各国人口出生率列表
ఈల	口哨
కల్పము (కాలమానం)	劫數
బట్టమేక పిట్ట	南亞鴇
జీవశైధిల్య ప్లాస్టిక్(బయోడీగ్రేడబుల్ ప్లాస్టిక్)	生物可分解塑膠
కోడి మాంసము	雞肉
ఎలక్ట్రాన్ వివర్తనము	电子衍射
ప్రపంచ ఉపాధ్యాయుల దినోత్సవము	世界教师日
నోబెల్ బహుమతి పొందిన మహిళల జాబితా	諾貝爾獎女性得主列表
ఈసప్ కథలు	伊索寓言
ట్వంటీ 20	2020 (板球)
బాలభటులు	童军
యోనిశీర్షం	陰蒂
పెట్టుబడి నిర్వహణ	投資管理
వ్యాపార నీతి	商业伦理
విండోస్ టాస్క్ మేనేజర్	Windows任务管理器
దేశాల జాబితా – మిలిటరీ వ్యయం	各国国防预算列表
పురుషాయితము	女上位
విలుప్తమైన జంతువుల జాబితా	已灭绝动物列表
ప్రభుత్వ విశ్వవిద్యాలయం	公立大學
వికీపీడియా వర్గము	维基人
సంబల్‌పుర్	萨姆巴尔普尔
దప్పిక	飲
తెల్ల ఏనుగు	大白象
గంజి	粥
ఆధునిక వాదం	現代主義
సన్న జెముడు	绿玉树
భారత రాష్ట్రపతులు - జాబితా	印度总统列表
ద్రోణాచార్యుడు	德羅納
ఉజ్జయిని	烏賈因縣
2007–2009 ఆర్థిక సంక్షోభం	2007年–2008年環球金融危機
హనీవెల్	霍尼韦尔
నూనె యొక్క ఐయోడిన్ విలువ	碘价
స్ట్రట్స్	Struts
ఖలిస్తాన్ ఉద్యమం	卡利斯坦运动
ప్రైవేట్ విశ్వవిద్యాలయం	私立大學
సార్వత్రిక సూచిక	廣範試劑
సోలార్ కుక్కర్ (సౌర వంటపాత్ర)	太阳灶
శూద్రులు	首陀罗
డాక్టర్ చేప	溫泉魚療
రిలయన్స్ ఇండస్ట్రీస్	信实工业
ప్లాస్టిక్ మల్చింగ్	地膜
గుగ్గిలం కలప చెట్టు	娑羅樹
తుమకూరు	杜姆古尔
నక్సలైటు	纳萨尔派
జటామాంసి	蜘蛛香
పెట్రోలియం ఉత్పత్తుల వారీగా - ప్రపంచ దేశాలు	各国石油产量列表
కుంభకోణం	库姆巴科纳姆
డాక్టర్ ఆఫ్ మెడిసిన్	医学博士
అశ్రు గ్రంధులు	泪腺
సిగ్గు	害羞
సహాయం:సూచిక	Help:目录
దక్షిణ రైల్వే	印度铁路运输
వికీపీడియా:పాఠం	Wikipedia:新手入門/參與
తోంక్ జిల్లా	湯克縣
బృహదీశ్వరాలయం	布里哈迪希瓦拉神庙
పాదులు	攀緣植物
వేదాంగములు	吠陀支
లక్ష్మణుడు	羅什曼那
గౌరిబిదనూరు	高里比达努尔
JAR (ఫైల్ ఫార్మాట్)	JAR (文件格式)
సీతాపూర్	西塔普尔
ప్రవాస భారతీయుడు మరియు భారత సంతతీయుడు	海外印度人
ధృతరాష్ట్రుడు	持國
ది హిందూ	印度教徒報
అడ్డసరం	鸭嘴花
సవతి	繼親
గుజరాత్ (పాకిస్తాన్)	古傑拉特
గున	古納縣
ప్రపంచ రక్త దాతల దినోత్సవం	世界献血者日
రాగులు	穇子
పద్మభూషణ్ పురస్కారం	莲花装勋章
రూబి లేజర్	紅寶石雷射
